CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PI02483-2016;UNID. ACAD. ESP/QUIMICA - CATALAO;Estudo da influência do controle morfológico nas propriedades fotoluminescentes e fotocatalíticas de molibdatos e tungstatos puros e dopados com terras raras;Ciências Exatas e da Terra - Química - Físico-Química - Química do Estado Condensado;Tipo de vínculo desconhecido;sim;MARIO GODINHO JUNIOR (DOCENTE - Coordenador), ROSANA DE FATIMA GONÇALVES (DOCENTE - Vice-coodernador);01/01/2016 a 31/12/2022
PI02496-2016;UNID. ACAD. ESP/QUIMICA - CATALAO;Síntese e Caracterização de condutores protônicos a base de cerato de bário dopado;Ciências Exatas e da Terra - Química - Físico-Química - Química do Estado Condensado, Engenharias - Engenharia de Materiais e Metalúrgica - Materiais Não-Metálicos - Cerâmicos;Com Programa de Pós-graduação da UFG;sim;JOCELIA PEREIRA DE CARVALHO OLIVEIRA (DOCENTE - Colaborador), LUCIANA MELO COELHO (DOCENTE - Colaborador), MARIA FERNANDA DO CARMO GURGEL (DOCENTE - Colaborador), MARIA RITA DE CASSIA SANTOS (DOCENTE - Colaborador), MARIO GODINHO JUNIOR (DOCENTE - Coordenador), ROSANA DE FATIMA GONÇALVES (EXTERNO - Colaborador), RUTH H. G. A. KIMINAMI (EXTERNO - Colaborador);01/01/2016 a 31/12/2022
PI0131-2016;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;Clima, homem e o velho debate sobre as extinções do Quaternário tardio: uma nova proposta para avaliação baseada em mecanismos ecológicos, não em padrões;Ciências Biológicas - Ecologia - Ecologia Teórica;Com Programa de Pós-Graduação de Outra IES;sim;EVELINE BORGES VILELA RIBEIRO (DOCENTE - Colaborador), JOSE ALEXANDRE FELIZOLA DINIZ FILHO (DOCENTE - Colaborador), LEVI CARINA TERRIBILE (DOCENTE - Colaborador), MATHEUS DE SOUZA LIMA RIBEIRO (DOCENTE - Coordenador), RAFAEL DIAS LOYOLA (DOCENTE - Colaborador), THIAGO FERNANDO LOPES VALLE DE BRITTO RANGEL (DOCENTE - Colaborador);01/03/2016 a 31/12/2021
PI01921-2016;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;O trabalho docente na produção acadêmica da educação Física brasileira: um olhar para as teses e dissertações dos Programas de Pós-Graduação em Educação Física.;Ciências Humanas - Educação;Com Programa de Pós-graduação da UFG;sim;IDAYANY ARAÚJO CARDOSO DE ALMEIDA (DISCENTE - Vice-coodernador), MICHELE SILVA SACARDO (DOCENTE - Coordenador);01/03/2016 a 28/02/2018
PI02052-2016;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;A produção do conhecimento sobre PIBID na pós-graduação em educação física e educação: limites e possibilidades;Ciências Humanas - Educação - Fundamentos da Educação;Com Programa de Pós-graduação da UFG;sim;HALISSON KELITON RAMOS DOS SANTOS (DISCENTE - Vice-coodernador), MICHELE SILVA SACARDO (DOCENTE - Coordenador);07/03/2016 a 31/08/2018
PI02750-2016;FACULDADE DE CIENCIAS SOCIAIS;A importância da TVE da Fundação Piratini como dispositivo de cultura e de sensibilidades para a memória da sociedade gaúcha ;Ciências Humanas - História - História do Brasil;Com Programa de Pós-Graduação de Outra IES;sim;NADIA MARIA WEBER SANTOS (DOCENTE - Coordenador);01/03/2016 a 28/02/2019
PV0691-2016;UNID. ACAD. ESP/BIOTECNOLOGIA - CATALA;Análise de textura utilizando sistemas complexos para identificação de espécies de plantas;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação;Com Grupo de Pesquisa;sim;DOUGLAS FARIAS CORDEIRO (DOCENTE - Colaborador), HALLEFY FERREIRA CLARIANO (DISCENTE - Colaborador), IGOR LUIDJI TURRA (DISCENTE - Colaborador), JAN BAETENS (EXTERNO - Colaborador), NUBIA ROSA DA SILVA (DOCENTE - Coordenador), ODEMIR MARTINEZ BRUNO (EXTERNO - Colaborador), PEDRO HENRIQUE VIEIRA SILVA (DISCENTE - Colaborador), ROSANA MARTA KOLB (EXTERNO - Colaborador), SERGIO FRANCISCO DA SILVA (DOCENTE - Colaborador);01/03/2016 a 31/08/2022
PI0874-2016;INSTITUTO DE FISICA;Interação entre Moléculas Orgânicas e Nanoestruturas: Base para Novas Terapias  ;Ciências Exatas e da Terra - Física - Física da Matéria Condensada - Prop. Óticas e Espectrosc. da Mat. Condens  Outras Inter. da Mat. com Rad. e Part., Ciências Exatas e da Terra - Química - Físico-Química - Espectroscopia, Ciências Biológicas - Biofísica - Radiologia e Fotobiologia;Com Programa de Pós-graduação da UFG;sim;AMANDA VARGAS TELES (DISCENTE - Colaborador), ANDRIS FIGUEIROA BAKUZIS (DOCENTE - Colaborador), ANTONIO ALONSO (DOCENTE - Colaborador), ARTHUR HENRIQUE FLORIANO PEREIRA (DISCENTE - Colaborador), DENIZE SILVA BRAZIL (DISCENTE - Colaborador), FABIO DE CASTRO BEZERRA (DISCENTE - Colaborador), GUILHERME ROCHA LINO DE SOUZA (DOCENTE - Colaborador), IOURI BORISSEVITCH (DOCENTE - Colaborador), LAIS ALONSO (DISCENTE - Colaborador), MARCIO ADRIANO RODRIGUES SOUZA (DOCENTE - Colaborador), PABLO JOSE GONCALVES (DOCENTE - Coordenador), RODRIGO COSTA E SILVA (DISCENTE - Colaborador), TAISE MARIA DOS ANJOS OLIVEIRA (DISCENTE - Colaborador);04/01/2016 a 31/12/2021
PI0296-2016;FACULDADE DE EDUCAÇÃO FISICA E DANÇA;AVALIAÇÃO DAS VARIÁVEIS CARDIORRESPIRATÓRIAS E METABÓLICAS EM PACIENTES CORONARIOPATAS SUBMETIDOS A DIFERENTES TIPOS DE TREINAMENTO INTERVALADO: ENSAIO CLÍNICO RANDOMIZADO;Ciências da Saúde - Educação Física;Sem Vínculo (Projeto Isolado);sim;ANA CRISTINA SILVA REBELO (DOCENTE - Vice-coodernador), JULIANA ALVES CARNEIRO (DOCENTE - Colaborador), MARIA SEBASTIANA SILVA (DOCENTE - Colaborador), PAULO ROBERTO VIANA GENTIL (DOCENTE - Coordenador);01/07/2016 a 30/06/2021
PI02244-2016;FACULDADE DE ARTES VISUAIS;ENTRÓPICOS: projeto de pesquisa em urbanismo;Ciências Sociais Aplicadas - Arquitetura e Urbanismo;Tipo de vínculo desconhecido;sim;CAROLINA FERREIRA DA FONSECA (SERVIDOR - Vice-coodernador), LIVIA MARIA PEREIRA DA SILVA MOREIRA (SERVIDOR - Colaborador), PEDRO DULTRA BRITTO (DOCENTE - Coordenador), THIAGO DE ARAÚJO COSTA (EXTERNO - Colaborador);09/03/2016 a 10/12/2020
PI02356-2016;UNID. ACAD. ESP/GEOGRAFIA - CATALAO;CARACTERIZAÇÃO FÍSICO-QUÍMICA DA ÁGUA PLUVIAL NO ESPAÇO URBANO DE CATALÃO (GO);Ciências Exatas e da Terra - Geociências - Geografia Física - Climatologia Geográfica;Tipo de vínculo desconhecido;sim;ANTOVER PANAZZOLO SARMENTO (DOCENTE - Colaborador), LEONARDO FERREIRA PRADO (DISCENTE - Colaborador), LINCOLN LUCILIO ROMUALDO (DOCENTE - Colaborador), RAFAEL DE AVILA RODRIGUES (DOCENTE - Coordenador);08/12/2016 a 08/12/2021
PV0288-2016;FACULDADE DE EDUCAÇÃO FISICA E DANÇA;Sobrevivência de dança(s): a vida mediada pela economia, arte e cultura no Brasil contemporâneo  1980/2012;Lingüística, Letras e Artes - Artes - Dança, Lingüística, Letras e Artes - Artes - Dança - Execução da Dança;Com Grupo de Pesquisa;sim;RAFAEL GUARATO DOS SANTOS (DOCENTE - Coordenador);01/01/2016 a 31/08/2020
PI0177-2016;FACULDADE DE HISTORIA;Anonimato e pseudônimo: produção, recepção e circulação de textos literários no Brasil - século XIX;Ciências Humanas - História - História do Brasil - História do Brasil Império;Com Programa de Pós-graduação da UFG;sim;RAQUEL MACHADO GONCALVES CAMPOS (DOCENTE - Coordenador);30/04/2016 a 31/08/2021
PI079-2016;ESCOLA DE VETERINARIA E ZOOTECNIA;MAPEAMENTO E AVALIAÇÃO DA SUINOCULTURA EM PROPRIEDADES DE  AGRICULTURA FAMILIAR EM MUNICÍPIOS GOIANOS;Ciências Agrárias - Zootecnia - Produção Animal - Manejo de Animais;Sem Vínculo (Projeto Isolado);sim;LAUDICÉIA OLIVEIRA DA ROCHA (EXTERNO - Colaborador), PAULO HELLMEISTER FILHO (DOCENTE - Vice-coodernador), RAQUEL MARIA DE OLIVEIRA (DOCENTE - Coordenador);16/11/2016 a 16/11/2018
PV01174-2016;FACULDADE DE ARTES VISUAIS;Interface de Conhecimento Escola-Sociedade em Goiânia / Knowledge Interface School-Society in Goiânia - KISS@Goiânia;Ciências Sociais Aplicadas - Desenho Industrial - Programação Visual;Com Grupo de Pesquisa;sim;CARLO GIOVANNELLA (EXTERNO - Colaborador), MARCELO LUCAS AVILA DE BRITO (DISCENTE - Colaborador), ÓSCAR EMANUEL CHAVES MEALHA (EXTERNO - Colaborador), RAVI FIGUEIREDO PASSOS (DOCENTE - Coordenador);01/06/2016 a 31/08/2019
PI02206-2016;FACULDADE DE CIENCIAS SOCIAIS;Sertão-Mesoamérica: projeto conjunto de pesquisa em educação intercultural e relações raciais entre UFG-Brasil e CIESAS-México;Ciências Humanas - Antropologia;Com Programa de Pós-graduação da UFG;sim;GEISA CUNHA FRANCO (DOCENTE - Colaborador), PABLO FABIÃO LISBOA (DOCENTE - Colaborador), ROBERTO CUNHA ALVES DE LIMA (DOCENTE - Coordenador);01/01/2016 a 31/12/2020
PI01865-2016;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;O ATIVISMO LGBT EM GOIÂNIA:REFLEXÕES SOBRE DISCURSOS, PROCESSOS COMUNICATIVOS E FRONTEIRAS DE SENTIDOS;Ciências Sociais Aplicadas - Comunicação - Teoria da Comunicação;Com Programa de Pós-graduação da UFG;sim;ROSANA MARIA RIBEIRO BORGES (DOCENTE - Coordenador), WÉBER FÉLIX DE OLIVEIRA (DISCENTE - Colaborador);04/04/2016 a 30/04/2018
PI01873-2016;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;As hashtags e a memória coletiva acerca da narrativa ficcional na Internet: um estudo analítico sobre Verdades Secretas no Twitter.   ;Ciências Sociais Aplicadas - Comunicação;Com Programa de Pós-graduação da UFG;sim;JUARA CASTRO DA CONCEIÇÃO (DISCENTE - Vice-coodernador), ROSANA MARIA RIBEIRO BORGES (DOCENTE - Coordenador);01/03/2016 a 02/04/2018
